DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Lung_M1_*	Lung_F1_*	Lung_F2_*	Lung_M2_*	Lung_F3_*	Lung_M3_*
143	19237	6026	5455	16139	18747	4199
144	19644	6026	5880	16711	19105	4220
145	19838	6157	6011	17432	19272	4220
146	20968	6165	6205	17432	19755	4452
147	21124	6323	7517	17459	21493	5129
148	21546	6323	7782	17482	23405	5209
149	22709	6323	7991	18247	24473	5248
150	22988	6357	8028	18466	24813	5257
151	23235	6644	8222	19243	24957	5846
152	23836	6749	8698	19890	25074	5868
153	24349	7067	8766	20026	25074	5963
154	24349	7240	9135	20561	25125	7193
155	24517	7245	9135	20800	25125	7333
156	25360	7530	9255	20898	25125	7717
157	25846	8352	9285	21579	25334	7789
158	26360	8438	9285	22263	25712	7944
159	26688	8699	9309	22573	29302	8133
160	26845	8914	9953	22573	29491	9113
